新城香悦半岛	14871	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
园城汇龙湾	8533	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
天禄文渊居	12291	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
常州常发广场	13905	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
青龙苑	5275	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
长宇棕榈湾	15846	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
人民家园	11240	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
御翠天�o	21196	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
公园大厦	16719	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
聚盛花园明日之星	11426	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
东尼中央花园	9799	普通住宅	1.20元/平方米·月	85400m²	706户	2006年	地下停车库	0.91	20%(一般)	溧阳东尼房地产开发有限公司	溧阳东尼物业有限公司	
沈家花苑	6798	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
会馆浜新村	7705	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：7005元/平方米	
梧桐苑	8581	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	26%(一般)	暂无数据	暂无资料	
星盛家园	11522	普通住宅	0.5元/平方米·月	160000m²	1136户	2008年	地下302个	2.03	30%(一般)	五星置业发展有限公司 	常州市五星物业管理有限公司	
景福苑	13107	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：9379元/平方米	
鑫福苑	6910	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
旺角花园	12608	普通住宅	0.70元/平方米·月	80000m²	450户	2006年	地下225个	1.6	30%(一般)	常州友邦房地产开发有限公司	河海物业	
燕阳花园白领特区	9106	普通住宅	1.2元/平方米·月	45854m²	238户	2008年	110左右	1.5	35%(一般)	江苏紫阳房地产开发有限公司	江苏紫阳物业有限公司	
富都花苑	8306	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.5	1.6	20%(一般)	暂无数据	暂无资料	
侨光苑	10281	普通住宅	0.5元/平方米·月	56000m²	500户	2006年	地下双层车位	3	30%(一般)	常州侨光建设发展有限公司 	常州侨光物业有限公司 	
香堤湾	13108	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
晓柳二村	3254	暂无数据	0.2元/平米·月	暂无数据	暂无数据	暂无数据	120	2	42%(高)	暂无数据	暂无资料	
金鼎公寓	26895	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：11091元/平方米	
新城逸境	13126	普通住宅	0.8元/平方米·月	158500m²	280户	2009年	地下159个	2.15	40%(高)	常州新城房产开发有限公司	新城物业有限公司	
江南佳园	12552	普通住宅	0.7元/平方米·月	100000m²	566户	2006年	地下352个	2.5	50%(高)	常州华泰房地产发展有限公司 	常州华泰物业有限公司 	
府河名居	15090	普通住宅	0.85元/平方米·月	110459m²	944户	2011年	400	3.38	32%(一般)	常州御景房地产开发有限公司	常州高正物业	
翔宇文苑	8324	普通住宅	1.20元/平方米·月	32000m²	244户	2009年	1：0.8	2	40%(高)	常州市翔宇置业有限公司	师源物业	
银河湾电脑数码城(商住楼)	6927	普通住宅	2.5元/平方米·月	160000m²	600户	2010年	总数：600个	3.5	30%(一般)	江苏华光银河湾房地产开发有限公司	上海光华物业发展公司	
金百国际	10514	普通住宅	0.75元/平方米·月	220000m²	1000户	2007年	地下372个	2.4	50%(高)	常州金新房地产开发有限公司,江苏百兴房地产开发有限公司 	常州金新物业开发有限公司	
朝阳花园	8160	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：4929元/平方米	
锦绣南园	10888	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	30%	暂无数据	20%(一般)	暂无数据	暂无资料	
卢家巷花苑	4920	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
大诚苑	12301	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
尚枫澜湾	12500	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
福康宁花园	6597	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
广嘉东郡	11525	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
永安花苑	5685	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
世家华庭	18768	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
水晶城	11879	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
蔷薇佳园	12002	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
燕山美林	9253	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	地下368个	1.1	30%(一般)	暂无数据	搜房评估参考价：6381元/平方米	
格兰艺堡(普宅)	11681	普通住宅	0.9元/平方米·月	150000m²	500户	2012年	总数：300个	2.2	37%(一般)	常州市天宁房地产开发有限公司	常州江南中鑫物业管理有限公司	
蓝天花园一期	9214	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	地下874个	1.6	30%(一般)	暂无数据	暂无资料	
璞丽湾	14488	普通住宅	0.9元/平方米·月	150000m²	600户	2010年	1：0.8	2	30%(一般)	常州协成房地产发展有限公司	常州江南中鑫物业	
银河湾花园	11789	暂无数据	0.40元/平米·月	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	20%(一般)	暂无数据	银河湾物业	
玉隆花园	22072	普通住宅	0.50元/平方米·月	70000m²	500户	2005年	地下450个	1.8	30%(一般)	苏源集团江苏房地产开发公司常州分公司	苏源集团江苏房地产开发公司常州分公司	
荷花苑	7539	普通住宅	0.35元/平方米·月	67900m²	435户	2008年	1：0.6	2.34	31%(一般)	常州伟谊物业发展有限公司 	常州天际物业管理有限公司	
莱蒙城（别墅）	20008	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	1：1	2	50%(高)	暂无数据	高力国际（加拿大）	
景城名轩	13323	暂无数据	0.9元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.8	2	47%(高)	暂无数据	武进建设物业	
福满园	7948	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	有车位	暂无数据	暂无数据	暂无数据	有物业公司	
莱蒙时代	18429	普通住宅	1.8元/平方米·月	120000m²	483户	2013年	458个	暂无数据	40%(高)	常州莱蒙都会置业有限公司	莱蒙物业	
泰山三村	13413	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
同仁苑	4680	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
同德苑	5250	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
龙栖花园	7058	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
兰翔新村	8677	普通住宅	0.30元/平方米·月	18110m²	250户	1999年	地面165个	1.85	26%(一般)	常州房地产开发公司	常州兰花物业	
长江公寓	7228	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
中凉新村	8434	暂无数据	0.30元/平方米·月	暂无数据	暂无数据	暂无数据	100	1.55	22%(一般)	暂无数据	暂无资料	
中壮新村	8712	暂无数据	0.3元/平米·月	暂无数据	暂无数据	暂无数据	暂无数据	2.8	45%(高)	暂无数据	暂无资料	
竹园小区	7844	暂无数据	0.35元/平米·月	暂无数据	暂无数据	暂无数据	100	1.6	30%(一般)	暂无数据	暂无资料	
红旗新村	7928	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	550	2	37%(一般)	暂无数据	暂无资料	
中凉花园	8326	暂无数据	0.30元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.5	1.55	20%(一般)	暂无数据	暂无资料	
湾里小区	9193	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.6	1.65	20%(一般)	暂无数据	新城物业	
长安家园	6283	暂无数据	0.1元/平米·月	暂无数据	暂无数据	暂无数据	暂无数据	0.5	41%(高)	暂无数据	暂无资料	
香江康桥	10218	普通住宅	0.56元/平方米·月	38300m²	588户	2009年	总数：298个	2.4	30%(一般)	常州市康桥房地产开发有限公司（中房股份）	嘉乐物业	
学府名门(普宅)	9819	普通住宅	2元/㎡/月	64315m²	300户	2009年	270	2.94	20%(一般)	常州启星房地产发展有限公司	常州新天地物业管理有限公司	
机械新村	6462	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	20%	暂无数据	16%(低)	暂无数据	暂无资料	
通济新村	15327	暂无数据	0.4元/平米·月	暂无数据	暂无数据	暂无数据	200	2.87	35%(一般)	暂无数据	暂无资料	
嘉宏世纪	19357	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	80%	暂无数据	20%(一般)	暂无数据	暂无资料	
小玉带桥	10769	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	暂无数据	1.3	25%(一般)	暂无数据	暂无资料	
香梅花园	14243	普通住宅	0.75元/平方米·月	150000m²	1031户	2007年	地下750个	2.2	35%(一般)	常州金泰房地产发展有限公司 	常州金泰物业有限公司 	
华景园	7991	暂无数据	0.78元/平方米·月	暂无数据	暂无数据	暂无数据	暂无数据	1.5	32%(一般)	暂无数据	暂无资料	
锦绣东苑	10959	普通住宅	0.5元/平方米·月	30000m²	200户	2008年	1：0.6	2.3	35%(一般)	常州新业房产有限公司	常州市中天物业公司	
凯旋城	12747	普通住宅	0.79元/平方米·月	280000m²	268户	2012年	1：0.8	2	30%(一般)	常州常惠发展有限公司	常州江南中鑫物业管理有限公司	
长河花园	10764	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
金色湖滨	8744	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
荣盛馨河郦舍	13360	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
永宁星座	11846	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
常发香堤半岛	11640	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
绿园爱舍	8462	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
时代景城	15533	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
荷花苑	6885	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
东方国际公寓	16473	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
北新巷小区	8715	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
颐和家园	8098	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.70	暂无数据	暂无数据	暂无数据	暂无资料	
电子新村	8181	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：7442元/平方米	
勤业新村	8162	普通住宅	0.2元/㎡/月	61300m²	500户	1997年	地面和地下停车位	暂无数据	20%(一般)	常州福来房地产开发有限公司	常州雍康置业	
钟楼区花园新村	8908	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	25%(一般)	暂无数据	暂无资料	
丽丰苑	7618	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	21%(一般)	暂无数据	暂无资料	
福地聚龙苑	14844	普通住宅	1.00元/平方米·月	22342m²	224户	2000年	1：1	4.8	30%(一般)	常州福地置业有限公司	常州福地置业有限公司	
顺园一村	8274	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
阳光福地	14900	普通住宅	0.83元/平方米·月	87800m²	500户	2013年	1：0.7	4.2	30%(一般)	常州福地置业有限公司	常州高正物业	
九洲花园（别墅）	8714	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	地下303个	2.1	35%(一般)	暂无数据	高正物业	
泰山二村	9682	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
锦海星城澳洲阳光	10952	普通住宅	0.78元/平方米·月	162200m²	1318户	2010年	总数：911个	1.6	35%(一般)	常州新区新业房产	常州市锦绣物业管理有限公司	
富都南村	8886	普通住宅	0.40元/平方米·月	45000m²	500户	2000年	地面停车场	暂无数据	暂无数据	常州富都经济发展有限公司	常州富都经济发展有限公司	
巢丰苑	11595	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	85	1.3	51%(高)	暂无数据	太湖物业	
顺园三村	7974	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
美林国际村	23892	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	1：1	2.4	40%(高)	暂无数据	美林国际村社区物业	
飞龙新苑	10993	普通住宅	1.00元/平方米·月	180000m²	1300户	2011年	地下停车库	暂无数据	暂无数据	常州市住房保障中心	常州市住房保障中心	
天安花园	12328	普通住宅	0.40元/平方米·月	31202m²	214户	2000年	地下停车场	暂无数据	暂无数据	常州天安城市发展有限公司	常州天安城市发展有限公司	
珠江花园	8985	普通住宅	0.35元/平方米·月	50000m²	540户	2000年	1：0.8	2.3	20%(一般)	南英房地产开发公司	常州珠江物业	
香树湾福园	11874	普通住宅	0.90元/平方米·月	124747m²	900户	2008年	地下256个	1.6	35%(一般)	常州九洲福源房地产开发有限公司	常州福安物业	
河海二村	9105	普通住宅	0.4元/㎡/月	29750m²	300户	2000年	地面停车	暂无数据	暂无数据	河海房地产开发有限公司	常州市延陵物业管理有限公司	
聚新家园	4377	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	500	1.5	52%(高)	暂无数据	暂无资料	
花东五村	8074	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	地面80个	1.65	23%(一般)	暂无数据	龙涛物业	
南田雅园	11249	普通住宅	0.55元/平方米·月	60700m²	509户	2007年	1：0.8	1.84	31%(一般)	常州市汇丰房地产开发有限公司	汇源公司	
喜盈门	10610	普通住宅	0.5元/平方米·月	136000m²	1200户	2008年	700个以上	2.2	38%(一般)	常州武进创业房地产发展有限公司	香港泰喜	
东方新村	7311	暂无数据	0.15元/平米·月	暂无数据	暂无数据	暂无数据	350	2	37%(一般)	暂无数据	暂无资料	
古方小区	8218	暂无数据	0.1元/平米·月	暂无数据	暂无数据	暂无数据	120	1	25%(一般)	暂无数据	暂无资料	
纺织城	5555	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
翰林雅居	9020	普通住宅	0.78元/平方米·月	30000m²	231户	2007年	地下174个	3	10%(低)	常州武进创业房地产发展有限公司	常州武进创业物业有限公司	
富强新村	7398	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：5974元/平方米	
新城尚东区	13936	普通住宅	0.8元/平方米·月	170000m²	1176户	2010年	1：0.8	2.5	30%(一般)	常州新城置地房地产开发有限公司	常州新城置地物业有限公司	
常发永宁雅苑	14226	普通住宅	0.85元/平方米·月	150000m²	500户	2012年	1：0.6	2.5	45%(高)	江苏常发置业集团有限公司	常福物业	
锦绣花园	8608	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6399元/平方米	
杨家花园	7299	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
华东机电交易中心	5845	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
南田家园	3952	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
湖滨壹号	11558	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
朗诗新北绿郡	17391	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
龙湖原山	15893	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
九龙仓擎天半岛	14116	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
新天地花苑	15332	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
山水名门	11954	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
馨都苑	10248	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
山水和园	15504	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
新城玉龙湾	11480	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
嘉宏七棠	17416	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
锦锈花园	6832	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
福阳山庄	11105	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
阳光巴黎	10695	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
金色新城朗园	12718	普通住宅	0.45元/平方米·月	500000m²	1300户	2005年	1：1	1.83	暂无数据	常州新城房产开发有限公司	常州新城物业有限公司	
西上园	11391	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：7902元/平方米	
银河湾二期	12395	普通住宅	0.40元/平方米·月	30000m²	200户	2005年	地面148个	1.7	20%(一般)	江苏华光房地产开发有限公司	银河湾物业	
江南公寓	9723	普通住宅	0.45元/平方米·月	16000m²	120户	2006年	1 1：0.6	1.7	25%(一般)	常州中房实业股份有限公司	常州中房物业有限公司	
世纪明珠苑	13802	普通住宅	0.4元/㎡/月	160000m²	800户	1999年	地面停车位	暂无数据	暂无数据	常州市三优房地产开发有限公司	常州市三优房地产开发有限公司	
清潭阳光绿园	8456	普通住宅	0.30元/平方米·月	50000m²	642户	2000年	地面停车场	暂无数据	暂无数据	常州房地产开发公司	小区物业	
凯悦中心	17762	普通住宅	2.00元/平方米·月	560000m²	376户	2012年	地下车库	5	暂无数据	常州凯悦房地产有限公司	凯悦物业	
白云新村	6865	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	20%(一般)	暂无数据	暂无资料	
花园西郡	12500	普通住宅	1.06元/平方米·月	60000m²	454户	2011年	454个，车位比1：0.8	2.2	30%(一般)	常州市三优房地产开发有限公司	上海欣翔物业管理有限公司	
澳新风情街	10664	暂无数据	0.7元/平米·月	暂无数据	暂无数据	暂无数据	440	1.8	41%(高)	暂无数据	暂无资料	
星鑫家园	9481	普通住宅	0.4元/平方米·月	390000m²	1184户	2007年	地上车位充足	2	48%(高)	常州市五星置业发展有限公司	常州市五星物业管理有限公司	
汇金置业广场	11469	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	10%(低)	暂无数据	暂无资料	
东方福郡	10425	普通住宅	0.7元/平方米·月	118000m²	1000户	2010年	1：0.7	2.5	30%(一般)	常州市合丰景宏置业发展有限公司	润嘉物业管理有限公司	
福康宁花园	6447	普通住宅	暂无资料	暂无数据	暂无数据	1998年	200	暂无数据	35%(一般)	富士房地产	搜房评估参考价：4421元/平方米	
河苑新村	6204	暂无数据	0.35元/平米·月	暂无数据	暂无数据	暂无数据	100	2	32%(一般)	暂无数据	暂无资料	
蓝色港湾	11499	普通住宅	0.5元/平方米·月	50000m²	350户	2003年	地下350个	1.7	30%(一般)	江苏高成房地产有限公司	江苏高成物业有限公司	
凤凰苑	12213	普通住宅	0.45元/平方米·月	27140m²	200户	2006年	地面80个	3.48	26%(一般)	常州高盛房地产开发股份有限公司	常州高盛物业有限公司	
新荷花园	11769	普通住宅	0.45元/平方米·月	60000m²	400户	2005年	1：0.7	1.65	22%(一般)	常州常惠发展有限公司	常州常惠发展有限公司	
九洲花园（花园洋房）	14428	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	地下303个	2.1	35%(一般)	暂无数据	高正物业	
泰山一村	9973	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
前桥小区	8498	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
康郡	7267	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	1.75	26%(一般)	暂无数据	常州金安物业管理有限公司	
龙城花园	8450	普通住宅	0.4元/平方米·月	65000m²	450户	2007年	1：0.7	1.85	30%(一般)	常州兰星房地产开发有限公司	常州兰星物业有限公司	
聚博花园	13419	普通住宅	0.45元/平方米·月	15000m²	900户	2006年	地下500个	1.4	30%(一般)	江苏武房集团	江苏武房集团	
南博湾花园	12860	普通住宅	0.96元/平方米·月	150900m²	800户	2010年	总数：644个	2.2	36%(一般)	常州世纪牡丹置业有限公司	北京世纪颐和物业管理有限公司	
武柴新村	7677	暂无数据	0.4元/平米·月	暂无数据	暂无数据	暂无数据	300	2	35%(一般)	暂无数据	暂无资料	
四季新城金典	10000	普通住宅	0.5元/平方米·月	48500m²	442户	2008年	1：0.8	2.7	50%(高)	常州新城房产开发有限公司 	新城物业	
北建新村	8412	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	1：0.5	1.62	23%(一般)	暂无数据	北建社区物业	
龙涛·紫郡	9349	普通住宅	0.8元/平方米·月	85228m²	759户	2012年	可租可售	1.85	30%(一般)	常州龙涛房地产开发有限公司	常州龙涛物业有限公司	
誉天商务公寓	5063	普通住宅	2.4元/平方米·月	18350m²	308户	2011年	总数：272	2	38%(一般)	常州誉天房地产开发有限公司	常州明都物业公司	
西园新村	5543	暂无数据	0.3元/平米·月	暂无数据	暂无数据	暂无数据	120	1.8	29%(一般)	暂无数据	暂无资料	
南淳家园	6705	暂无数据	0.75元/平米·月	暂无数据	暂无数据	暂无数据	350	2.4	41%(高)	暂无数据	暂无资料	
聚盛家园	11520	暂无数据	0.4元/平米·月	暂无数据	暂无数据	暂无数据	50	2.1	56%(高)	暂无数据	暂无资料	
朝阳一村	9411	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	80%	暂无数据	20%(一般)	暂无数据	暂无资料	
桃园公寓	21411	暂无数据	1.05元/平方米·月	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	30%(一般)	暂无数据	暂无资料	
世家华庭	17378	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
南大街云庭	17598	普通住宅	1.00元/平方米·月	8000m²	100户	2000年	地下停车场	暂无数据	暂无数据	常州之江置业房产有限公司	常州之江置业房产有限公司	
人民家园二期	12085	暂无数据	0.5元/平方米·月	暂无数据	暂无数据	暂无数据	60%	1.9	35%(一般)	暂无数据	新城物业有限公司	
丰臣南郡	12030	普通住宅	0.33元/平米·月	110000m²	900户	2010年	地下620个	2.5	30%(一般)	常州市丰岛置业有限公司	江南中鑫	
海伦小屋	8588	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	50%	暂无数据	25%(一般)	暂无数据	暂无资料	
兰陵公寓	8876	普通住宅	0.5元/平米·月	45787m²	300户	2002年	80%	暂无数据	20%(一般)	常州东方房地产有限公司	常州东方物业有限公司	
永宁花园	13185	暂无数据	0.15元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.7	1.68	22%(一般)	暂无数据	暂无资料	
康云明居	10521	暂无数据	1.18元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.6	2.3	30%(一般)	暂无数据	康云社区物业	
朝阳四村	7247	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6391元/平方米	
丽华二村	6977	暂无数据	0.2元/平米·月	暂无数据	暂无数据	暂无数据	150	0.2	30%(一般)	暂无数据	暂无资料	
东苑公寓	22207	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	20%(一般)	暂无数据	暂无资料	
世家别院	14349	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
天宇假日公寓	8131	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
常州世茂广场	9882	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
美林湖水岸枫情	16430	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
金百商业广场	10296	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
和平美景	14137	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
万都广场	11287	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
